Rank 2 start loading data...
Rank 3 start loading data...
Rank 0 start loading data...Rank 1 start loading data...

UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
0 start loading model...
2start training...
3start training...
1start training...
0start training...




TRAIN: | epoch   0 |   112/ 7183 batches | 
TRAIN: | epoch   0 |   113/ 7183 batches | 
TRAIN: | epoch   0 |   114/ 7183 batches | 
TRAIN: | epoch   0 |   115/ 7183 batches | 
TRAIN: | epoch   0 |   116/ 7183 batches | 
TRAIN: | epoch   0 |   117/ 7183 batches | 
TRAIN: | epoch   0 |   118/ 7183 batches | 
TRAIN: | epoch   0 |   119/ 7183 batches | 
TRAIN: | epoch   0 |   120/ 7183 batches | 
TRAIN: | epoch   0 |   121/ 7183 batches | 
TRAIN: | epoch   0 |   122/ 7183 batches | 
TRAIN: | epoch   0 |   123/ 7183 batches | 
TRAIN: | epoch   0 |   124/ 7183 batches | 
TRAIN: | epoch   0 |   125/ 7183 batches | 
TRAIN: | epoch   0 |   126/ 7183 batches | 
TRAIN: | epoch   0 |   127/ 7183 batches | 
TRAIN: | epoch   0 |   128/ 7183 batches | 
| epoch   0 |   128/ 7183 batches | | ms/batch 16195.80 | 
TRAIN: | epoch   0 |   129/ 7183 batches | 
TRAIN: | epoch   0 |   130/ 7183 batches | 
TRAIN: | epoch   0 |   131/ 7183 batches | 
TRAIN: | epoch   0 |   132/ 7183 batches | 
TRAIN: | epoch   0 |   133/ 7183 batches | 
TRAIN: | epoch   0 |   134/ 7183 batches | 
TRAIN: | epoch   0 |   135/ 7183 batches | 
TRAIN: | epoch   0 |   136/ 7183 batches | 
TRAIN: | epoch   0 |   137/ 7183 batches | 
TRAIN: | epoch   0 |   138/ 7183 batches | 
TRAIN: | epoch   0 |   139/ 7183 batches | 
TRAIN: | epoch   0 |   140/ 7183 batches | 
TRAIN: | epoch   0 |   141/ 7183 batches | 
TRAIN: | epoch   0 |   142/ 7183 batches | 
TRAIN: | epoch   0 |   143/ 7183 batches | 
TRAIN: | epoch   0 |   144/ 7183 batches | 
TRAIN: | epoch   0 |   145/ 7183 batches | 
TRAIN: | epoch   0 |   146/ 7183 batches | 
TRAIN: | epoch   0 |   147/ 7183 batches | 
TRAIN: | epoch   0 |   148/ 7183 batches | 
TRAIN: | epoch   0 |   149/ 7183 batches | 
TRAIN: | epoch   0 |   150/ 7183 batches | 
TRAIN: | epoch   0 |   151/ 7183 batches | 
TRAIN: | epoch   0 |   152/ 7183 batches | 
TRAIN: | epoch   0 |   153/ 7183 batches | 
TRAIN: | epoch   0 |   154/ 7183 batches | 
TRAIN: | epoch   0 |   155/ 7183 batches | 
TRAIN: | epoch   0 |   156/ 7183 batches | 
TRAIN: | epoch   0 |   157/ 7183 batches | 
TRAIN: | epoch   0 |   158/ 7183 batches | 
